"movie_name","genre","release_year"
"12 Years a Slave","Historical",2013
"1917","War",2019
"Argo","Action",2012
"The Artist","Comedy",2011
"Bend It Like Beckham","Sport",2002
"The Big Short","Biography",2015
"The Boy in the Striped Pajamas","War",2008
"Bohemian Rhapsody","Music",2018
"Bridge of Spies","Spy",2015
"The Curious Case of Benjamin Button","Fantasy",2008
"Dallas Buyers Club","Drama",2013
"The Departed","Crime",2006
"The Elephant Man","Drama",1980
"The Father","Drama",2020
"The Fighter","Sport",2010
"The Good, the Bad and the Ugly","Western",1966
"Good Will Hunting","Romance",1997
"The Green Mile","Crime",1999
"The Greatest Showman","Musical",2017
"Hacksaw Ridge","War",2016
"Hidden Figures","History",2016
"The Imitation Game","History",2014
"Inception","Thriller",2010
"Interstellar","Sci-Fi",2014
"The King's Speech","Drama",2010
"The Lord of the Rings: The Return of the King","Fantasy",2003
"The Martian","Sci-Fi",2015
"The Matrix","Sci-Fi",1999
"Milk","Biography",2008
"Moneyball","Sport",2011
"Munich","War",2005
"The Pianist","Drama",2002
"Schindler's List","Historical",1993
"Spotlight","Crime",2015
"Sully","Thriller",2016
"The Theory of Everything","Romance",2014
"Unbroken","War",2014
"Whiplash","Music",2014
"Zero Dark Thirty","Thriller",2012
